label,job_title,complexity,results,accountability,ft_label
6,Emergency Manager II ,assesses public exposure in the state and nation in order to develop plans and acquire assets and resources to address issues dealing with natural catastrophes or domestic violence errors and products of industrial operations wars or other emergencies a considerable knowledge of emergency service programs and practices skill in situational analysis and proficiency in planning and operations is required at this level the ability to manage large organizational units the scope of work extends to the safety of the general public ,,,__label__6 assesses public exposure in the state and nation in order to develop plans and acquire assets and resources to address issues dealing with natural catastrophes or domestic violence errors and products of industrial operations wars or other emergencies a considerable knowledge of emergency service programs and practices skill in situational analysis and proficiency in planning and operations is required at this level the ability to manage large organizational units the scope of work extends to the safety of the general public 
7,Emergency Manager III ,implement the governors programs and interpret the laws and regulations related to the agency mission applies general knowledge of all agency programs the scope of decision making at this level may determine the survival of the agency and directly impact the public safety ,,,__label__7 implement the governors programs and interpret the laws and regulations related to the agency mission applies general knowledge of all agency programs the scope of decision making at this level may determine the survival of the agency and directly impact the public safety 
2,Engineering Technician I,performs entry level technician work that involves conducting inspections sampling and testing materials and the collection and correlation of engineering and or geological data performs routine technical duties in support of others by drawing maps and diagrams computing dimensions and quantities of materials gathering samples for materials testing and assisting in compliance inspection activities refers questions and problems to higher levels applies construction civil engineering inspection and surveying techniques and procedures applies principles of mathematics skill in the operation of computer assisted drafting techniques surveying equipment or other tools of the trade skill in preparing plan drawings and sketches performs technician tasks that are basic and routine in nature gathers a variety of data for analysis and evaluation completes routine reports employees involved with inspection may require applicable certifications ,,,__label__2 performs entry level technician work that involves conducting inspections sampling and testing materials and the collection and correlation of engineering and or geological data performs routine technical duties in support of others by drawing maps and diagrams computing dimensions and quantities of materials gathering samples for materials testing and assisting in compliance inspection activities refers questions and problems to higher levels applies construction civil engineering inspection and surveying techniques and procedures applies principles of mathematics skill in the operation of computer assisted drafting techniques surveying equipment or other tools of the trade skill in preparing plan drawings and sketches performs technician tasks that are basic and routine in nature gathers a variety of data for analysis and evaluation completes routine reports employees involved with inspection may require applicable certifications 
3,Engineering Technician II,performs moderately complex technical tasks which are broad in scope and which require application of fundamental concepts practices and procedures of a particular specialty engineering function conducts routine data analyses and determines viability of data collected identifies problems and recommends solutions or corrective actions reviews routine project plans or portions of complex plans to determine compliance with state and or federal regulations and design standards ability to conduct engineering fieldwork and inspection and to perform drafting and design functions operates various types of scientific and or engineering equipment and uses varied technical instruments in performance of duties uses automated and or manual systems in preparing sketches plans drawings and or tests of data and materials may require applicable certifications ,,,__label__3 performs moderately complex technical tasks which are broad in scope and which require application of fundamental concepts practices and procedures of a particular specialty engineering function conducts routine data analyses and determines viability of data collected identifies problems and recommends solutions or corrective actions reviews routine project plans or portions of complex plans to determine compliance with state and or federal regulations and design standards ability to conduct engineering fieldwork and inspection and to perform drafting and design functions operates various types of scientific and or engineering equipment and uses varied technical instruments in performance of duties uses automated and or manual systems in preparing sketches plans drawings and or tests of data and materials may require applicable certifications 
4,Engineering Technician III,performs a range of engineering related tasks requiring independent analysis and formulation of solutions to problems assesses test procedures materials failures and or materials specifications performs full cycle of studies or activities prepares and reviews documents for finalizing drafts and details elements needed to produce plans for construction completes designs for unique and or unusual engineering situations develops drafts of details and standards for manuals and other publications used in engineering related functions ensures design elements meet federal state and agency requirements for strength geometric and economy computes various items to include elevations dimensions clearances and quantities prepares cost estimates and monitors expenditures conducts detailed and or complex inspections for compliance prepares specialized reports may require applicable certifications and experience ,,,__label__4 performs a range of engineering related tasks requiring independent analysis and formulation of solutions to problems assesses test procedures materials failures and or materials specifications performs full cycle of studies or activities prepares and reviews documents for finalizing drafts and details elements needed to produce plans for construction completes designs for unique and or unusual engineering situations develops drafts of details and standards for manuals and other publications used in engineering related functions ensures design elements meet federal state and agency requirements for strength geometric and economy computes various items to include elevations dimensions clearances and quantities prepares cost estimates and monitors expenditures conducts detailed and or complex inspections for compliance prepares specialized reports may require applicable certifications and experience 
5,Engineering Technician IV,applies expertise and knowledge of a specialty engineering program or service applies knowledge of supervisory principles and practices plans directs and coordinates the work of others prepares cost estimates materials lists for budget preparation and monitors expenditures develops reviews and prepares complex and detailed analytical and technical reports conducts formal presentations of research findings makes recommendations for work plans for a technical research project or program provides guidance in application of federal and state guidelines initiates and monitors investigations coordinates construction or operational projects conducts reviews of work of others and provides recommendations may require licensure ,,,__label__5 applies expertise and knowledge of a specialty engineering program or service applies knowledge of supervisory principles and practices plans directs and coordinates the work of others prepares cost estimates materials lists for budget preparation and monitors expenditures develops reviews and prepares complex and detailed analytical and technical reports conducts formal presentations of research findings makes recommendations for work plans for a technical research project or program provides guidance in application of federal and state guidelines initiates and monitors investigations coordinates construction or operational projects conducts reviews of work of others and provides recommendations may require licensure 
4,Environmental Specialist I,applies knowledge of planning technical scientific investigative principles practices and procedures highway construction methods to a particular environmental discipline transportation technical program or public health consumer protection program applies knowledge of federal or state laws regulations and guidelines pertaining to assigned projects or components of programs may apply basic knowledge of the principals and practices of supervision may conduct data monitoring and analysis in the completion of varied assignments and duties under established procedures and guidelines duties may include inspection assessment project program analysis enforcement compliance public education licensing and certification product registration sanitation food safety contract management impact assessments transportation technical studies permit applications mediations andacquisitions project development erosion and sediment control environmental documents pesticide management natural area management vegetation management classification and inventory of species sample and evidence collection data collection maintenance technical assistance or regulation activities having an impact on the public health and the environment frequent contact with federal state and local agencies industry representatives private organizations and consumers to investigate complaints review apply and explain program policies laws and regulations ,,,__label__4 applies knowledge of planning technical scientific investigative principles practices and procedures highway construction methods to a particular environmental discipline transportation technical program or public health consumer protection program applies knowledge of federal or state laws regulations and guidelines pertaining to assigned projects or components of programs may apply basic knowledge of the principals and practices of supervision may conduct data monitoring and analysis in the completion of varied assignments and duties under established procedures and guidelines duties may include inspection assessment project program analysis enforcement compliance public education licensing and certification product registration sanitation food safety contract management impact assessments transportation technical studies permit applications mediations andacquisitions project development erosion and sediment control environmental documents pesticide management natural area management vegetation management classification and inventory of species sample and evidence collection data collection maintenance technical assistance or regulation activities having an impact on the public health and the environment frequent contact with federal state and local agencies industry representatives private organizations and consumers to investigate complaints review apply and explain program policies laws and regulations 
5,Environmental Specialist II,applies knowledge of program specific concepts to a wide range of environmental transportation or public health programs may apply knowledge of complex mathematical formulas and theories scientific and industrial processes transportation principles highway construction plans and specificationsmay apply knowledge of ecological principals conservation practices and research methods may apply knowledge of the principals and practices of supervision may oversee regulatory compliance activities coordinate program activities involving law violations and quality control standards for the assigned program may coordinate conduct water quality field studies and surveys biological impact studies and wetlands delineations may develop strategies to minimize impacts of hazardous waste pollutants responsibilities include conducting inspections and investigations surveys analysis and evaluation of data records and reports drafting environmental documents enforcement mediating negotiating agreements during the permitting process approving or denying permit applications assembling design for and preparing and acquiring state and federal environmental permits analyzing and evaluating water quality impacts interpreting reviewing and summarizing environmental studies conducted by consultants legislative issues project review development delineation and mitigation vegetation management erosion and sediment compliance determinations environmental contract management document and evidence preparation grants administration educational or technical services regulating or conducting program and resource planning natural and recreational area management ecological assessments restoration activities or audit activities to support public health safety and environmental protection frequent contact with federal state and local government officials and agencies businesses professional associations and public interest groups and the general public to provide technical assistance and disseminate information and research environmental or public health complaints ,,,__label__5 applies knowledge of program specific concepts to a wide range of environmental transportation or public health programs may apply knowledge of complex mathematical formulas and theories scientific and industrial processes transportation principles highway construction plans and specificationsmay apply knowledge of ecological principals conservation practices and research methods may apply knowledge of the principals and practices of supervision may oversee regulatory compliance activities coordinate program activities involving law violations and quality control standards for the assigned program may coordinate conduct water quality field studies and surveys biological impact studies and wetlands delineations may develop strategies to minimize impacts of hazardous waste pollutants responsibilities include conducting inspections and investigations surveys analysis and evaluation of data records and reports drafting environmental documents enforcement mediating negotiating agreements during the permitting process approving or denying permit applications assembling design for and preparing and acquiring state and federal environmental permits analyzing and evaluating water quality impacts interpreting reviewing and summarizing environmental studies conducted by consultants legislative issues project review development delineation and mitigation vegetation management erosion and sediment compliance determinations environmental contract management document and evidence preparation grants administration educational or technical services regulating or conducting program and resource planning natural and recreational area management ecological assessments restoration activities or audit activities to support public health safety and environmental protection frequent contact with federal state and local government officials and agencies businesses professional associations and public interest groups and the general public to provide technical assistance and disseminate information and research environmental or public health complaints 
6,Environmental Manager I,applies technical knowledge and scientific practices and procedures as they apply to the particular environmental transportation or public health discipline applies knowledge of federal and state laws and regulations related to the environment or public health discipline applies high level of technical expertise to manage staff in multiple programs projects and accomplish environmental or public health objectives and goals may apply knowledge of complex scientific or industrial theory ecological principles conservation practices and research methods may apply complex environmental standards and principles in conducting analyses in support of technical projects plans and specifications oversees interpretation application and or enforcement of policies procedures laws and or regulations duties include inspections program analysis compliance enforcement conservation analysis and identification water quality and vegetation management legislative review impact assessments project development contract management delineation and mitigation public education document preparation technical services or control activities may make recommendations for policy or legislative development and advise higher level management on industry trends frequent contacts with federal state or local government officials or agencies businesses private sector organizations special interest groups and the general public to review explain and or enforce laws and regulations ,,,__label__6 applies technical knowledge and scientific practices and procedures as they apply to the particular environmental transportation or public health discipline applies knowledge of federal and state laws and regulations related to the environment or public health discipline applies high level of technical expertise to manage staff in multiple programs projects and accomplish environmental or public health objectives and goals may apply knowledge of complex scientific or industrial theory ecological principles conservation practices and research methods may apply complex environmental standards and principles in conducting analyses in support of technical projects plans and specifications oversees interpretation application and or enforcement of policies procedures laws and or regulations duties include inspections program analysis compliance enforcement conservation analysis and identification water quality and vegetation management legislative review impact assessments project development contract management delineation and mitigation public education document preparation technical services or control activities may make recommendations for policy or legislative development and advise higher level management on industry trends frequent contacts with federal state or local government officials or agencies businesses private sector organizations special interest groups and the general public to review explain and or enforce laws and regulations 
7,Environmental Manager II,applies knowledge of environmental programs program planning and research applies knowledge of management practices and principals legislative processes budget development and monitoring applies knowledge of federal and state regulatory programs industrial processes or transportation principles and practices for the program area develops and implements goals objectives strategic plans and operating procedures evaluates program effectiveness and recommends legislative changes manages multiple and or diverse programs directs emergency response efforts for natural or man made disasters product recalls or epidemiological incidents may serve as senior technical advisors in legal proceedings frequent contacts with federal state officials industry regulated businesses professional associations special interest groups agency staff and the general public to review industry compliance with laws and regulations provide or receive technical assistance and exchange information and assess the need for legislative changes ,,,__label__7 applies knowledge of environmental programs program planning and research applies knowledge of management practices and principals legislative processes budget development and monitoring applies knowledge of federal and state regulatory programs industrial processes or transportation principles and practices for the program area develops and implements goals objectives strategic plans and operating procedures evaluates program effectiveness and recommends legislative changes manages multiple and or diverse programs directs emergency response efforts for natural or man made disasters product recalls or epidemiological incidents may serve as senior technical advisors in legal proceedings frequent contacts with federal state officials industry regulated businesses professional associations special interest groups agency staff and the general public to review industry compliance with laws and regulations provide or receive technical assistance and exchange information and assess the need for legislative changes 
7,Environmental Manager III,applies knowledge of federal state local laws regulations policies and procedures related to a comprehensive statewide environmental program applies knowledge of management practices and principals legislative processes budget development and monitoring directs strategic planning and management financial planning and budget development policy analysis and program implementation frequent contacts with federal state or local officials high level ranking government contacts to discuss and review policy regulations and major environmental program issues ,,,__label__7 applies knowledge of federal state local laws regulations policies and procedures related to a comprehensive statewide environmental program applies knowledge of management practices and principals legislative processes budget development and monitoring directs strategic planning and management financial planning and budget development policy analysis and program implementation frequent contacts with federal state or local officials high level ranking government contacts to discuss and review policy regulations and major environmental program issues 
3,Equipment Service and Repair Technician I,skill in the use of diagnostic equipment and a variety of tools specific to the trade applies knowledge of the design and function of equipment performs skilled technician work that involves diagnosis replacement repair and rebuilding of a variety of equipment components and or systems ability to interpret and follow technical manuals blueprints mechanical drawings and schematics follows industry government specific guidelines particularly as they relate to safety health and environmental practices may apply principles and practices of electrical and electronics theory may require state inspection license and or commercial drivers license ,,,__label__3 skill in the use of diagnostic equipment and a variety of tools specific to the trade applies knowledge of the design and function of equipment performs skilled technician work that involves diagnosis replacement repair and rebuilding of a variety of equipment components and or systems ability to interpret and follow technical manuals blueprints mechanical drawings and schematics follows industry government specific guidelines particularly as they relate to safety health and environmental practices may apply principles and practices of electrical and electronics theory may require state inspection license and or commercial drivers license 
4,Equipment Service and Repair Technician II,applies mastery of skills in areas of specialization adapts procedures techniques tools materials and or equipment to meet special needs extensive experience in the function special licenses may be required for some positions ,,,__label__4 applies mastery of skills in areas of specialization adapts procedures techniques tools materials and or equipment to meet special needs extensive experience in the function special licenses may be required for some positions 
4,Equipment Service and Repair Manager I,applies knowledge of the function of equipment related to the area of assignment evaluates the effectiveness of services provided and recommends changes in procedures to meet users needs possesses and applies knowledge of effective management practices and principles extensive operational experience in the area of assignment follows industry specific guidelines particularly as they relate to safety and environmental practices ability to interpret policies and procedures and provide direction possesses and applies knowledge of cost management principles ,,,__label__4 applies knowledge of the function of equipment related to the area of assignment evaluates the effectiveness of services provided and recommends changes in procedures to meet users needs possesses and applies knowledge of effective management practices and principles extensive operational experience in the area of assignment follows industry specific guidelines particularly as they relate to safety and environmental practices ability to interpret policies and procedures and provide direction possesses and applies knowledge of cost management principles 
5,Equipment Service and Repair Manager II,applies knowledge of the function of equipment related to highly technical maintenance or specialized equipment evaluates the effectiveness of services provided and recommends changes in procedures to meet users needs possesses and applies knowledge of effective management practices and principles extensive operational experience in the area of assignment follows and monitors industry specific guidelines particularly as they relate to safety and environmental practices ability to interpret and follow direction as well as provide direction may require a faa airframe and powerpoint certificate with inspection authorization and or other relevant certifications possesses and applies knowledge of cost management procedures and techniques ,,,__label__5 applies knowledge of the function of equipment related to highly technical maintenance or specialized equipment evaluates the effectiveness of services provided and recommends changes in procedures to meet users needs possesses and applies knowledge of effective management practices and principles extensive operational experience in the area of assignment follows and monitors industry specific guidelines particularly as they relate to safety and environmental practices ability to interpret and follow direction as well as provide direction may require a faa airframe and powerpoint certificate with inspection authorization and or other relevant certifications possesses and applies knowledge of cost management procedures and techniques 
4,Financial Services Specialist I,performs work requiring analysis of data and application of applicable professional principles and standards applies knowledge of accounting functions or principles general business practices collection procedures and or applicable computer systems requires knowledge of state and federal laws rules and regulations demonstrated ability to research investigate analyze reconcile and evaluate data interacts frequently with internal and external customers using both verbal and written communication skills to discuss financial processes or issues ,,,__label__4 performs work requiring analysis of data and application of applicable professional principles and standards applies knowledge of accounting functions or principles general business practices collection procedures and or applicable computer systems requires knowledge of state and federal laws rules and regulations demonstrated ability to research investigate analyze reconcile and evaluate data interacts frequently with internal and external customers using both verbal and written communication skills to discuss financial processes or issues 
5,Financial Services Specialist II,performs work of varied and considerable difficulty requiring advanced data collection analysis forecasting and compiling and writing reports applies knowledge of accounting principles auditing standards budgeting practices public administration and or legal and regulatory compliance interacts frequently with internal and external senior officials professionals and the public requiring a high level of communication skills to analyze or resolve issues develops interprets and or evaluates compliance with policies and procedures ,,,__label__5 performs work of varied and considerable difficulty requiring advanced data collection analysis forecasting and compiling and writing reports applies knowledge of accounting principles auditing standards budgeting practices public administration and or legal and regulatory compliance interacts frequently with internal and external senior officials professionals and the public requiring a high level of communication skills to analyze or resolve issues develops interprets and or evaluates compliance with policies and procedures 
5,Financial Services Manager I,performs managerial work involving the analysis and interpretation of financial and or operational issues may supervise or evaluate a variety of financial or operational functions or have statewide responsibility for a specialized program applies knowledge of accounting principles auditing standards public administration and or regulatory compliance frequent interaction with internal and external customers including management using both verbal and written communication skills to resolve management issues ,,,__label__5 performs managerial work involving the analysis and interpretation of financial and or operational issues may supervise or evaluate a variety of financial or operational functions or have statewide responsibility for a specialized program applies knowledge of accounting principles auditing standards public administration and or regulatory compliance frequent interaction with internal and external customers including management using both verbal and written communication skills to resolve management issues 
6,Financial Services Specialist III,performs work involving analyzing data and formulating projections and plans applies knowledge of principles and techniques of subject matter interacts frequently with elected officials and senior executives requiring a high level of communication skills to plan negotiate and coordinate financial settlements investments cash flow or similar issues ,,,__label__6 performs work involving analyzing data and formulating projections and plans applies knowledge of principles and techniques of subject matter interacts frequently with elected officials and senior executives requiring a high level of communication skills to plan negotiate and coordinate financial settlements investments cash flow or similar issues 
6,Financial Services Manager II,applies knowledge of financial accounting and auditing functions as well as agency state and federal laws and regulations regarding financial operations business processes information systems and reporting requirements contacts include the public other state agencies all levels of government officials and private organizations to discuss financial issues ,,,__label__6 applies knowledge of financial accounting and auditing functions as well as agency state and federal laws and regulations regarding financial operations business processes information systems and reporting requirements contacts include the public other state agencies all levels of government officials and private organizations to discuss financial issues 
7,Financial Services Manager III,applies knowledge of accounting auditing financial and or information systems resolves complex problems and sensitive policy issues effective interaction with diverse constituencies to include the public other state agencies general assembly members government officials and private organizations to discuss programs and policies ,,,__label__7 applies knowledge of accounting auditing financial and or information systems resolves complex problems and sensitive policy issues effective interaction with diverse constituencies to include the public other state agencies general assembly members government officials and private organizations to discuss programs and policies 
8,Financial Services Manager IV,performs work involving strategic planning and interpreting complex rules and regulations projects often address controversial unprecedented and sensitive issues applies knowledge of subject area with advanced education and appropriate professional certification preferred contacts include the public other state agencies all levels of government officials and private organizations to resolve critical and sensitive issues ,,,__label__8 performs work involving strategic planning and interpreting complex rules and regulations projects often address controversial unprecedented and sensitive issues applies knowledge of subject area with advanced education and appropriate professional certification preferred contacts include the public other state agencies all levels of government officials and private organizations to resolve critical and sensitive issues 
2,Watercraft Operator I ,is able to consistently recall and apply the knowledge and skills of watercraft tending operations cleaning maintenance and emergency response routines is able to monitor surroundings detect potential hazards and ensure safety and or adherence to specifications work often takes place outdoors exposed to the weather demonstrates a working knowledge of and applies on the job all applicable local state and federal laws regulations may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa will experience frequent contact and communication with other crewmembers and or passengers required to actively listen answer questions and give general directions ,,,__label__2 is able to consistently recall and apply the knowledge and skills of watercraft tending operations cleaning maintenance and emergency response routines is able to monitor surroundings detect potential hazards and ensure safety and or adherence to specifications work often takes place outdoors exposed to the weather demonstrates a working knowledge of and applies on the job all applicable local state and federal laws regulations may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa will experience frequent contact and communication with other crewmembers and or passengers required to actively listen answer questions and give general directions 
3,Watercraft Operator II ,is able to consistently recall and apply the knowledge and skills of watercraft tending operations cleaning maintenance and emergency response routines is able to monitor surroundings detect potential hazards and ensure safety and or adherence to specifications work often takes place outdoors exposed to the weather understands and stipulates that all applicable local state and federal laws regulations are upheld and followed may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to implement emergency response routines as documented in laws regulations and or established practices principles may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa will experience frequent contact and communication with other crewmembers and passengers required to actively listen answer questions and give authoritative direction ,,,__label__3 is able to consistently recall and apply the knowledge and skills of watercraft tending operations cleaning maintenance and emergency response routines is able to monitor surroundings detect potential hazards and ensure safety and or adherence to specifications work often takes place outdoors exposed to the weather understands and stipulates that all applicable local state and federal laws regulations are upheld and followed may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to implement emergency response routines as documented in laws regulations and or established practices principles may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa will experience frequent contact and communication with other crewmembers and passengers required to actively listen answer questions and give authoritative direction 
4,Watercraft Operations Manager I , demonstrates advanced judgment and decision making skills and abilities within responsibility area consistently applies and utilizes specialized knowledge and skills of watercraft operations safety procedures along with maintenance and performance standards to assure safe and compliant watercraft operations is able to direct the timely management of potentially hazardous situations and to ensure safety and compliance with appropriate specifications and procedures work often takes place outdoors exposed to the weather understands and assures that all applicable local state and federal laws regulations are upheld and followed may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to coordinate and manage emergency response routines as documented in laws regulations and or established practices principles may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa will experience frequent contact and communication with other crewmembers and passengers required to actively listen answer questions and give commanding direction ,,,__label__4 demonstrates advanced judgment and decision making skills and abilities within responsibility area consistently applies and utilizes specialized knowledge and skills of watercraft operations safety procedures along with maintenance and performance standards to assure safe and compliant watercraft operations is able to direct the timely management of potentially hazardous situations and to ensure safety and compliance with appropriate specifications and procedures work often takes place outdoors exposed to the weather understands and assures that all applicable local state and federal laws regulations are upheld and followed may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to coordinate and manage emergency response routines as documented in laws regulations and or established practices principles may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa will experience frequent contact and communication with other crewmembers and passengers required to actively listen answer questions and give commanding direction 
5,Watercraft Manager II , is able to direct watercraft programs functions staff and administrative activities across broad programs consistently applies and utilizes specialized knowledge and skills of watercraft program management safety and human factors programs maintenance and performance methodologies to assure customer focused cost effective safe and compliant watercraft program management applies principles of program management and implements and evaluates needed policies and procedures communicates confidently and collaboratively with the public media other state agencies private entities staff and government legislative officials to provide information and confer on watercraft programs management topics may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to direct emergency response routines as documented in laws regulations and or established practices principles may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa ,,,__label__5 is able to direct watercraft programs functions staff and administrative activities across broad programs consistently applies and utilizes specialized knowledge and skills of watercraft program management safety and human factors programs maintenance and performance methodologies to assure customer focused cost effective safe and compliant watercraft program management applies principles of program management and implements and evaluates needed policies and procedures communicates confidently and collaboratively with the public media other state agencies private entities staff and government legislative officials to provide information and confer on watercraft programs management topics may be required to possess and maintain local state and federal watercraft operation and or maintenance licenses or other related documents and may be required to meet specified physical requirements may be required to direct emergency response routines as documented in laws regulations and or established practices principles may be required to possess and maintain a transportation workers identification credential twic from the transportation security administration tsa 
4,Veterinary Technician I,applies knowledge of principles and practices governing veterinary science to the care and treatment of animals adheres to accreditation standards and other regulatory requirements for testing animals supports clinical faculty by performing skilled technical work frequent contacts with students technicians and other staff to provide technical expertise and to ensure that specialized procedures are performed properly ,,,__label__4 applies knowledge of principles and practices governing veterinary science to the care and treatment of animals adheres to accreditation standards and other regulatory requirements for testing animals supports clinical faculty by performing skilled technical work frequent contacts with students technicians and other staff to provide technical expertise and to ensure that specialized procedures are performed properly 
5,Veterinary Technician II Supervisor,applies knowledge of principles practices and laws governing veterinary science to the technical direction of a laboratory or medical and surgical sections of a veterinary teaching hospital adheres to accreditation standards and other regulatory requirements for treating animals supports clinical faculty and veterinary hospital administration by performing skilled technical work may supervise and instruct advanced veterinary medical students and veterinary technicians on how to conduct professional animal care techniques and specialized procedures frequent contacts with students technicians faculty veterinary practitioners and other staff to provide technical expertise and to ensure that specialized procedures are performed properly ,,,__label__5 applies knowledge of principles practices and laws governing veterinary science to the technical direction of a laboratory or medical and surgical sections of a veterinary teaching hospital adheres to accreditation standards and other regulatory requirements for treating animals supports clinical faculty and veterinary hospital administration by performing skilled technical work may supervise and instruct advanced veterinary medical students and veterinary technicians on how to conduct professional animal care techniques and specialized procedures frequent contacts with students technicians faculty veterinary practitioners and other staff to provide technical expertise and to ensure that specialized procedures are performed properly 
6,Veterinarian I,applies knowledge of principles practices and laws governing veterinary medicine adheres to accreditation standards and other regulatory requirements for treating animals serves as a professional with variable duties in veterinary field services or veterinary diagnostic work investigates animal diseases contamination of food of animal origin sanitation of various food products performs cooperative enforcement activities provides veterinary diagnostic services to assist private practitioners and the public frequent contacts with consumers state agencies state federal officials and veterinary practitioners to ensure compliance with animal health requirements ,,,__label__6 applies knowledge of principles practices and laws governing veterinary medicine adheres to accreditation standards and other regulatory requirements for treating animals serves as a professional with variable duties in veterinary field services or veterinary diagnostic work investigates animal diseases contamination of food of animal origin sanitation of various food products performs cooperative enforcement activities provides veterinary diagnostic services to assist private practitioners and the public frequent contacts with consumers state agencies state federal officials and veterinary practitioners to ensure compliance with animal health requirements 
